#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
1,一,一,yī,1,"one; a, an; alone",一 1.0,1,1,G1,2,2,-,2,2,1,1
2,七,七,qī,1,seven,一 1.1,2,1,G3,498,530,-,126,2,3,7
3,万,万,wàn,4,ten thousand; innumerable,一 1.2,3,3,G3,414,322,-,422,3,4,35
4,三,三,sān,1,three,一 1.2,3,1,G1,108,125,-,62,3,6,22
5,上,上,shàng,4,"top; superior, highest; go up, send up",一 1.2,3,1,G1,16,16,-,16,5,7,36
6,下,下,xià,4,"under, underneath, below; down; inferior; bring down",一 1.2,3,1,G1,40,42,-,30,3,8,30
7,不,不,bù,4,"no, not; un-; negative prefix",一 1.3,4,1,G1,4,4,-,4,2,9,91
8,妻,妻,qī,1,wife,女 38.5,8,2,G5,1125,1076,-,319,2,635,1056
9,除,除,chú,2,"eliminate, remove, except",阜 170.7,9,3,G3,471,464,-,452,3,2527,1732
10,个,个,gè,4,"numerary adjunct, piece; single",丨 2.2,3,1,G1,12,12,-,12,2,26,45
11,可,可,kě,3,"may, can, -able; possibly",口 30.2,5,2,G1,30,30,-,180,2,392,212
12,久,久,jiǔ,3,"long time (ago); time passage, grow late",丿 4.2,3,3,G3,531,637,-,492,3,36,47
13,九,九,jiǔ,3,nine,乙 5.1,2,1,G2,310,445,-,117,3,49,15
14,也,也,yě,3,also; classical final particle of strong affirmation or identity,乙 5.2,3,2,G2,196,31,-,181,2,51,66
15,失,失,shī,1,"lose; make mistake, neglect",大 37.2,5,4,G3,436,375,-,697,3,604,265
16,便,便,biàn,4,"convenience, ease; expedient",人 9.7,9,2,G2,263,271,-,233,4,157,1556
17,了,了,le,0,to finish; particle of completed action,亅 6.1,2,1,G1,5,5,-,5,2,58,17
18,就,就,jiù,4,"just, simply; to come, go to; to approach, near",尢 43.9,12,2,G1,27,27,-,179,3,733,2728
19,二,二,èr,4,two; twice,二 7.0,2,1,G1,130,157,-,69,2,62,3
20,五,五,wǔ,3,five; surname,二 7.2,4,1,G2,266,279,-,94,2,67,88
21,想,想,xiǎng,3,"think, speculate, plan, consider",心 61.9,13,1,G1,94,99,-,57,5,948,2867
22,人,人,rén,2,man; people; mankind; someone else,人 9.0,2,1,G1,7,7,-,7,3,80,10
23,从,从,cóng,2,"from, by, since, whence, through",人 9.2,4,2,G1,93,98,-,195,4,89,142
24,任,任,rèn,4,"trust to, rely on, appoint; to bear, duty, office; allow",人 9.4,6,4,G3,381,186,-,635,3,104,467
25,叔,叔,shū,1,,又 29.6,8,3,G4,935,1422,-,575,3,375,1065
26,金,金,jīn,1,gold; metals in general; money,金 167.0,8,4,G2,259,260,-,655,3,2454,1166
27,京,京,jīng,1,capital city,亠 8.6,8,1,G6,1394,566,-,129,4,76,1205
28,旅,旅,lǚ,3,"trip, journey; travel; traveler",方 70.6,10,2,G4,835,950,-,305,2,1188,2046
29,资,资,zī,1,property; wealth; capital,貝 154.6,10,4,G4,642,257,-,653,2,2289,2039
