#,Confidence,Likelihood,Engagement
1,5,4,5
2,4,3,5
3,5,3,5
4,3,3,5
5,5,5,5
6,5,5,5
7,4,3,5
8,4,3,5
9,5,4,5
10,5,3,4
11,5,4,5
12,4,3,4
13,5,4,4
14,4,2,5
15,3,2,5
16,3,3,4
17,4,2,5
18,3,1,3
19,4,3,5
20,4,5,5
21,5,4,5
22,5,4,2
23,5,5,5
24,4,5,4
25,5,3,5
26,5,4,5
27,3,2,3
28,4,2,4
29,3,3,5
30,3,4,5
31,3,3,4
32,3,4,4
33,4,3,5
34,4,4,5
35,3,3,3
36,2,3,4
37,3,2,5
38,3,3,5
39,5,5,4
40,3,2,3
41,3,4,5
42,5,3,5
43,5,5,5
44,3,3,3
45,5,3,5
46,3,3,4
47,4,3,5
48,3,4,2
49,3,4,5
50,5,5,5
51,3,5,5
52,3,4,5
53,5,5,5
54,4,5,5
55,4,3,5
56,5,4,5
57,4,5,5
58,5,3,5
59,4,2,5
60,4,4,5
61,3,5,4
62,3,2,3
63,3,3,3
64,5,3,5
65,4,4,3
66,4,3,4
67,5,5,5
68,3,3,3
69,5,3,4
70,4,3,4
71,2,2,5
72,4,3,4
73,5,5,5
74,4,3,3
75,5,2,4
76,3,4,5
77,3,3,4
78,4,3,5
79,4,2,5
80,3,3,3
81,5,4,5
82,3,3,3
83,5,1,2
84,3,3,3
85,5,4,3
86,3,3,3
87,5,3,4
88,4,2,5
89,3,1,3
90,4,4,3
91,5,2,3
92,4,3,4
93,3,4,4
94,4,3,2
95,4,4,3
96,4,2,3
97,4,3,5
98,4,3,5
99,4,3,2
100,2,3,3
101,4,3,2
102,3,2,3
103,5,4,3
104,4,3,3
105,5,3,4
106,4,5,5
107,5,5,5
108,4,2,4
109,4,5,3
110,3,3,3
111,4,3,4
112,4,2,3
113,4,2,4
114,4,5,5
115,4,3,4
116,3,3,5
117,3,4,4
118,3,3,4
119,5,2,5
120,4,4,5
121,5,5,5
122,5,4,5
123,3,2,5
